Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cote d'Ivoire,CIV,..,..,..,..,..,8526829195.09724,9323637218.17309,9607218874.00009,11452802998.0292,12389416637.9745,12605548916.4372,13669676040.3552,13107468405.0069,12988034912.6686,13888903173.2373,12501412278.3909,11796872426.2873,12855832030.3664,13042548272.8844,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Croatia,HRV,7614664991.56623,8642305360.1856,9855241868.36963,12493279037.2747,15343799373.3686,16611439262.1515,19245843196.6575,22860989538.8186,25901330641.8671,20607282846.5654,21499943044.3668,24373439362.4847,23394126201.2966,24868347467.4893,24989852482.5984,22997585200.5929,24686197203.4595,28008904050.952,30710603525.9267,31072959354.3996,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,2102413407.82123,2343422346.36871,2163418994.41341,2275212290.50279,1964435754.18994,1784156424.58101,1766117904,1914631024.75419,1773679506.6257,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cyprus,CYP,5018988180.52338,5315260701.90002,5382280980.50673,6296820025.22579,7408494301.90698,8046683468.05072,8556677111.95912,10283883731.5766,14008201531.9196,12712508232.336,12939073661.2597,14761757536.884,13784032789.5173,14669117094.5412,15267672610.306,13904593791.8943,14781779884.7858,16612687375.3763,18226265385.3561,17181640310.2658,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Czech Republic,CZE,29411883353.3123,32890742914.7411,37183424019.0468,46748062490.8959,68757151217.1598,84402098615.6656,101299444095.866,125970662822.056,150091414328.562,121632947507.139,137029742232.405,162821394258.699,158360841980.789,160978376418.306,171700823301.942,151446071130.768,155290037003.497,173235013109.521,191693669275.359,186283337934.819,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Denmark,DNK,73805211462.8574,75600732870.9919,82139163399.0646,96209541077.8982,111354544653.396,125373902144.213,143796453242.528,164945010952.844,192423433120.153,151903938956.565,162706676792.385,185269343251.716,178705507346.917,188437583597.777,192870416434.605,167759798336.16,167287222886.155,182090460124.845,197857459588.953,194940041394.139,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Djibouti,DJI,193241091.373557,213486307.189359,228003443.5998,252997676.132815,250730076.918316,287866937.503165,306626678.895572,306542276.939698,365702421.210774,399406935.590054,420873166.367509,419669031.79703,457441720.449469,3197793170.19373,3567083206.33954,3525602070.67297,2703021607.02228,4146612649.11096,4562266486.60815,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Dominica,DMA,144511111.111111,121248518.518519,123167614.814815,118410740.740741,130478220.37037,129357542.592593,144430703.333333,147844255.185185,156733717.037037,147949173.703704,174064611.111111,190955615.925926,160266036.296296,169648258.518519,272781599.115018,255900367.10847,257177702.115651,213188378.870585,161953936.363113,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Dominican Republic,DOM,5901800000,5560200000,5635400000,6408700000,6919870000,7576600000,8562300000,9485400000,9269800000,7982100000,12270500000,14184300000,15075500000,15836300000,16952600000,16983600000,18148800000,18991400000,20191700000,20564200000,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Ecuador,ECU,5905997570,5683462800.85,6141604892.06028,7326978915.35182,8981703524.85305,11479812239.8079,14212622491.104,16070245408.4975,20902383668.9421,15748549985.5869,19609313677.3547,24669793118.3584,26372910956.3256,27628143065.8064,28942769339.738,21440060545.0063,20087969278.2403,22552777308.569,25374315399.9411,26093749380.2157,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Egypt, Arab Rep.",EGY,16864000000,16067200000,16437900000,20060300000,26516200000,30715800000,36680100000,44398000000,54760900000,44609100000,48831200000,47053000000,48601300000,44795200000,47166300000,37569400000,33624300000,42874700000,51619507000,53522607000,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,El Salvador,SLV,2508900000,2434600000,2520500000,2721791937.15393,2832350173.14003,3342130000,3770670000,4349260000,4809750000,4215791532.91539,4971117953.24486,5878555805.88227,6110251638.58143,6536788799.30548,6620205985.33667,6914058467.91829,6871196858.10316,7224712453.27385,7517177510.12997,7982945219.28707,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Eritrea,ERI,97718685.5670103,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Estonia,EST,3503486025.71975,3932546507.58655,4295602059.95891,5669651502.63684,7430733421.02671,9201691004.65781,10805825480.4584,14095525809.3074,16242649553.8271,12012691391.6714,14646557009.7138,20113352573.193,19831873870.4366,21236776686.0922,21792830544.8235,17721872011.4647,18537802620.4371,20416798839.9273,22688301382.2414,22942064651.7455,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Eswatini,SWZ,1238723003.95519,1141001936.20822,1160640999.81532,1840984217.66661,1981709323.93005,1804657347.19888,1837866384.44009,2118892308.73347,1744253068.11351,1775452988.44225,2062825042.0674,1676679458.10353,1786829765.2051,1849915820.46491,1938091784.79657,1743678940.01885,1695049828.06576,1914980625.92333,1899341355.88341,2069780579.65426,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Ethiopia,ETH,992267370.259464,975689091.171146,1063969944.99859,1258126210.58213,1683762662.68493,1929483699.80887,2198490814.12065,2649643536.00468,3495286071.70092,3429924703.77971,4644218341.95427,5831538472.39655,5994928705.34654,6116476023.25386,6385691687.43855,6007196233.49046,5905571808.04242,6637865076.96921,7624331353.22779,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Faroe Islands,FRO,530750000,573000000,608630000,671270000,705010817.196333,735782833.073867,825068967.467749,959621432.67851,1104282947.81357,935652250.13864,1025794812.66933,1212798314.66615,..,..,..,..,..,..,..,..,..
